epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.69788,2.34005,3.48382,2.12522,0.00222,0.66667,0.00486,0.00118,2.28986,4.26486,2.10466,2e-05,2e-05,2e-05
2,4.94943,2.29311,3.6739,2.11772,0.00222,0.66667,0.00341,0.00115,2.30424,4.27222,2.12311,5.703e-05,5.703e-05,5.703e-05
3,6.6996,2.62831,3.85557,2.31966,0.00278,0.83333,0.00418,0.00111,2.34342,4.29346,2.14656,9.01e-05,9.01e-05,9.01e-05
4,8.41918,2.30742,3.72883,2.14759,0.00278,0.83333,0.0044,0.00106,2.39178,4.32346,2.18499,0.00011921,0.00011921,0.00011921
5,10.1739,2.41564,3.66215,2.2883,0.37985,0.33333,0.38136,0.22079,0.96913,2.89641,1.33541,0.00014436,0.00014436,0.00014436
6,13.8142,1.39825,2.75759,1.37251,0.73253,0.5,0.51382,0.22008,1.91661,2.88001,1.87435,0.00016555,0.00016555,0.00016555
7,17.4525,1.56856,1.75287,1.46068,0.59378,0.66667,0.69627,0.30046,1.82757,4.57711,2.10191,0.00018278,0.00018278,0.00018278
8,21.2473,1.58603,1.65723,1.55423,0.87391,0.83333,0.931,0.4808,1.41935,2.37573,1.73129,0.00019605,0.00019605,0.00019605
9,24.7269,1.35155,1.57701,1.32918,0.32466,0.83333,0.60165,0.31198,1.47924,6.58184,2.45685,0.00020536,0.00020536,0.00020536
10,27.381,1.48946,1.4514,1.38324,0.78885,0.62951,0.76392,0.46185,1.4235,3.7326,1.8846,0.00021071,0.00021071,0.00021071
11,63.4495,1.3514,1.85643,1.37548,0.78959,0.66667,0.67488,0.35907,1.69174,4.4998,2.65443,0.0002121,0.0002121,0.0002121
12,66.8494,1.25713,1.44112,1.2595,0.9407,0.66667,0.7567,0.4316,1.82061,4.6293,3.05759,0.00020953,0.00020953,0.00020953
13,70.0078,1.2126,1.40483,1.25381,0.58193,0.69932,0.78778,0.36214,1.85098,7.99144,3.26986,0.000203,0.000203,0.000203
14,73.5269,1.38875,1.56097,1.27694,0.41254,0.83333,0.72147,0.25619,1.70225,5.28536,2.22711,0.00019251,0.00019251,0.00019251
15,76.4542,1.18327,1.43532,1.23213,0.69916,0.83333,0.92227,0.53381,1.45731,2.46229,1.64724,0.00017806,0.00017806,0.00017806
16,80.2431,1.17159,1.20513,1.23939,0.60854,0.83333,0.85125,0.49028,1.29334,2.50733,1.63682,0.00015965,0.00015965,0.00015965
17,83.4154,1.28362,1.24508,1.24194,0.59592,0.83333,0.8451,0.48765,1.27031,2.20882,1.66201,0.00013728,0.00013728,0.00013728
18,86.3246,1.13154,1.19206,1.16607,0.78053,0.83333,0.89394,0.52472,1.26463,2.15119,1.59074,0.00011095,0.00011095,0.00011095
19,90.1492,1.05236,1.20072,1.15609,0.69833,1,0.9125,0.48595,1.42352,2.19968,1.69386,8.066e-05,8.066e-05,8.066e-05
20,93.629,1.14787,1.1021,1.15859,0.82276,1,0.97214,0.50692,1.47106,1.78989,1.69417,4.641e-05,4.641e-05,4.641e-05
